Date,inflation
2000-01-31,0.0
2000-02-29,0.0688018979833922
2000-03-31,0.09671712207587913
2000-04-28,0.009360374414979056
2000-05-31,0.009353078721745511
2000-06-30,0.06775700934579465
2000-07-31,0.023233301064860434
2000-08-31,0.002318840579711434
2000-09-29,0.06259659969088016
2000-10-31,0.020757255429562527
2000-11-30,0.0069071373752880305
2000-12-29,-0.009204218600190828
2001-01-31,0.07829591249280199
2001-02-28,0.05033365109628196
2001-03-30,0.02961837858363303
2001-04-30,0.043181818181818876
2001-05-31,0.05208529911304183
2001-06-29,0.02480270574971488
2001-07-31,-0.03825239077442122
2001-08-31,0.004514672686228849
2001-09-28,0.04964272282813109
2001-10-31,-0.040449438202246224
2001-11-30,-0.020293122886134718
2001-12-31,-0.047430830039524086
2002-01-31,0.031746031746030745
2002-02-28,0.047493403693932734
2002-03-29,0.06307490144546435
2002-04-30,0.06946778711484569
2002-05-31,-0.002227998514667817
2002-06-28,0.008913649025069859
2002-07-31,0.013360549267026123
2002-08-30,0.03781278962001888
2002-09-30,0.019955654101996068
2002-10-31,0.024349750968456263
2002-11-29,-0.0022091310751104487
2002-12-31,-0.026514454060026615
2003-01-31,0.05093190625576849
2003-02-28,0.09481808158765137
2003-03-31,0.07219690063810358
2003-04-30,-0.02827111272199989
2003-05-30,-0.01743869209809157
2003-06-30,0.01528106239767002
2003-07-31,0.01090116279069786
2003-08-29,0.04574332909784129
2003-09-30,0.036889692585895695
2003-10-31,-0.008653326122230354
2003-11-28,-0.034638282518490104
2003-12-31,-0.013026958567034619
2004-01-30,0.060858540119542504
2004-02-27,0.06487655433411543
2004-03-31,0.07743323176196437
2004-04-30,0.03633125556545114
2004-05-31,0.06818181818181746
2004-06-30,0.03813559322034088
2004-07-30,-0.014783526927139246
2004-08-31,0.0021145374449336174
2004-09-30,0.023255813953488413
2004-10-29,0.06752241955336569
2004-11-30,0.006294806784405083
2004-12-31,-0.04404054526389478
2005-01-31,0.023153832660936402
2005-02-28,0.06932773109243673
2005-03-31,0.09399477806788425
2005-04-29,0.0808290155440412
2005-05-31,-0.010293360782295924
2005-06-30,0.0041208791208804385
2005-07-29,0.05355303810504797
2005-08-31,0.061517429938482415
2005-09-30,0.14688881332879777
2005-10-31,0.026200873362447474
2005-11-30,-0.09451985922574213
2005-12-30,-0.052702702702703164
2006-01-31,0.0916185951815418
2006-02-28,0.02626704832463478
2006-03-31,0.06854838709677313
2006-04-28,0.0982292014700965
2006-05-31,0.05965202982601436
2006-06-30,0.02572135201978476
2006-07-31,0.03553800592300149
2006-08-31,0.025590551181101873
2006-09-29,-0.058929448354886116
2006-10-31,-0.06514229314031805
2006-11-30,-0.019847833278200167
2006-12-29,0.01789264413518943
2007-01-31,0.03668486352357103
2007-02-28,0.06424033723208744
2007-03-30,0.10927272906229124
2007-04-30,0.07793284510156262
2007-05-31,0.07328229479600967
2007-06-29,0.0232710086832828
2007-07-31,-0.003057060319261229
2007-08-31,-0.02198182604932919
2007-09-28,0.033062150484806985
2007-10-31,0.025669969881978894
2007-11-30,0.07130451732683074
2007-12-31,-0.008081347145320272
2008-01-31,0.05964009955910665
2008-02-29,0.034882121015149536
2008-03-31,0.10402135809341306
2008-04-30,0.07277263943868206
2008-05-30,0.10103260996247254
2008-06-30,0.12095547614314661
2008-07-31,0.06299563369408823
2008-08-29,-0.047915133211415384
2008-09-30,-0.016602568400266637
2008-10-31,-0.12117624081443168
2008-11-28,-0.22984225242694523
2008-12-31,-0.12410502693562542
2009-01-30,0.052211112010938976
2009-02-27,0.05968780583439148
2009-03-31,0.029167590936337362
2009-04-30,0.02992551578669822
2009-05-29,0.03466030862390568
2009-06-30,0.10311949748367155
2009-07-31,-0.01903668198371511
2009-08-31,0.02693552587521797
2009-09-30,0.00749832958004415
2009-10-30,0.011537248743330508
2009-11-30,0.00848711336226149
2009-12-31,-0.021128716660393287
2010-01-29,0.041014891317959545
2010-02-26,0.0029764380725252337
2010-03-31,0.0492746346219306
2010-04-30,0.02087356674464047
2010-05-31,0.009279406607978657
2010-06-30,-0.011714231506018358
2010-07-30,0.0025730327785984386
2010-08-31,0.016537379070416414
2010-09-30,0.006972839566583566
2010-10-29,0.014964560033989827
2010-11-30,0.005055238246417737
2010-12-31,0.02059691381946127
2011-01-31,0.05718872370206629
2011-02-28,0.059136688030172024
2011-03-31,0.11704173661988992
2011-04-29,0.07722632949362751
2011-05-31,0.056462876845915666
2011-06-30,-0.012852957731495973
2011-07-29,0.010648335753855598
2011-08-31,0.033086964102596816
2011-09-30,0.018213218434842027
2011-10-31,-0.024718314210971037
2011-11-30,-0.010155427580656795
2011-12-30,-0.029571304619851357
2012-01-31,0.05279180608685685
2012-02-29,0.05282567585877729
2012-03-30,0.09114676887930262
2012-04-30,0.03623626041792427
2012-05-31,-0.01408524270492384
2012-06-29,-0.01757059249908899
2012-07-31,-0.019568964890203766
2012-08-31,0.06677604641742718
2012-09-28,0.053539058096281344
2012-10-31,-0.0046567184849215515
2012-11-30,-0.05687211999024422
2012-12-31,-0.03231255772947872
2013-01-31,0.03552288370442813
2013-02-28,0.09826939859499184
2013-03-29,0.03135159540280075
2013-04-30,-0.012442562858175243
2013-05-31,0.021310409282173204
2013-06-28,0.028804897692453757
2013-07-31,0.0047693048909689395
2013-08-30,0.014439422022977766
2013-09-30,0.013925346099662228
2013-10-31,-0.030880830788444502
2013-11-29,-0.02452826682637621
2013-12-31,-0.0010484537455730525
2014-01-31,0.04469209723396084
2014-02-28,0.044355011345633244
2014-03-31,0.07729276269017671
