Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
"Gandhi, My Father",3-Aug-07,Eros Entertainment,Not Rated,"$240,425 ","34,945",Drama
La faute � Fidel,3-Aug-07,Koch Lorber Films,Not Rated,"$168,065 ","24,428",Drama
Beed-e majnoon,3-Aug-07,New Yorker,Not Rated,"$21,272 ","3,091",Drama
The Bourne Ultimatum,3-Aug-07,Universal,PG-13,"$227,471,070 ","33,062,655",Thriller/Suspense
Ils,3-Aug-07,Slowhand Cinema,R,"$26,062 ","3,788",Thriller/Suspense
If I Didn't Care,3-Aug-07,Artistic License,Not Rated,"$8,527 ","1,239",Thriller/Suspense
Daddy Day Camp,8-Aug-07,Sony Pictures,PG,"$13,235,267 ","1,923,730",Comedy
Dans Paris,8-Aug-07,IFC First Take,Not Rated,"$63,049 ","9,164",Drama
Rush Hour 3,10-Aug-07,New Line,PG-13,"$140,125,968 ","20,367,146",Action
Stardust,10-Aug-07,Paramount Pictures,PG-13,"$38,634,938 ","5,615,543",Adventure
Deux jours � Paris,10-Aug-07,Samuel Goldwyn Films,R,"$4,433,994 ","644,475",Comedy
Rocket Science,10-Aug-07,Picturehouse,R,"$712,391 ","103,545",Comedy
Cut Sleeve Boys,10-Aug-07,Regent Releasing,R,"$13,875 ","2,016",Comedy
Chak De India,10-Aug-07,Yash Raj Films,Not Rated,"$1,113,541 ","161,851",Drama
Skinwalkers,10-Aug-07,Lionsgate/After Dark,PG-13,"$1,018,965 ","148,105",Horror
Descent,10-Aug-07,City Lights Pictures,R,"$15,233 ","2,214",Thriller/Suspense
Delirious,15-Aug-07,Peace Arch Releasing,Not Rated,"$86,460 ","12,566",Comedy
O C�u de Suely,15-Aug-07,Strand,Not Rated,"$12,007 ","1,745",Drama
The Last Legion,17-Aug-07,Weinstein/Dimension,PG-13,"$5,932,060 ","862,218",Action
Superbad,17-Aug-07,Sony Pictures,R,"$121,463,226 ","17,654,538",Comedy
Death at a Funeral,17-Aug-07,MGM,R,"$8,580,428 ","1,247,155",Comedy
7 d�as,17-Aug-07,Xenon Pictures,PG-13,"$16,791 ","2,440",Comedy
Buddha Mar Gaya,17-Aug-07,Eros Entertainment,Not Rated,"$13,871 ","2,016",Comedy
Xiang ri kui,17-Aug-07,New Yorker,Not Rated,"$23,307 ","3,387",Drama
The Invasion,17-Aug-07,Warner Bros.,PG-13,"$15,074,191 ","2,191,016",Thriller/Suspense
Splinter,17-Aug-07,Magic Lamp,R,"$10,497 ","1,525",Thriller/Suspense
Hannah Takes the Stairs,22-Aug-07,IFC First Take,Not Rated,"$22,509 ","3,271",Drama
War,24-Aug-07,Lionsgate,R,"$22,486,409 ","3,268,373",Action
Mr. Bean�s Holiday,24-Aug-07,Universal,G,"$33,302,167 ","4,840,431",Adventure
The Nanny Diaries,24-Aug-07,MGM,PG-13,"$25,926,673 ","3,768,411",Comedy
Heyy Babyy,24-Aug-07,Eros Entertainment,Not Rated,"$1,411,065 ","205,096",Comedy
Closing Escrow,24-Aug-07,Magnolia Pictures,PG,"$8,719 ","1,267",Comedy
Resurrecting the Champ,24-Aug-07,Yari Film Group R�,PG-13,"$3,172,382 ","461,102",Drama
September Dawn,24-Aug-07,Black Diamond Pic�,R,"$1,066,555 ","155,022",Drama
Eye of the Dolphin,24-Aug-07,Monterey Media,PG-13,"$72,210 ","10,495",Drama
The Hottest State,24-Aug-07,IFC Films,R,"$31,216 ","4,537",Drama
Illegal Tender,24-Aug-07,Universal,R,"$3,054,430 ","443,957",Thriller/Suspense
Right at Your Door,24-Aug-07,Lionsgate,R,"$64,802 ","9,418",Thriller/Suspense
Balls of Fury,29-Aug-07,Focus Features,PG-13,"$32,886,940 ","4,780,078",Comedy
Quiet City,29-Aug-07,600 West,Not Rated,"$15,425 ","2,242",Drama
Death Sentence,31-Aug-07,20th Century Fox,R,"$9,534,258 ","1,385,793",Action
Ladron que roba a ladron,31-Aug-07,Lionsgate,PG-13,"$4,011,254 ","583,031",Action
Fong juk,31-Aug-07,Magnolia Pictures,Not Rated,"$51,957 ","7,551",Action
Freshman Orientation,31-Aug-07,Regent Releasing,R,"$10,718 ","1,557",Comedy
Vanaja,31-Aug-07,Emerging Pictures,Not Rated,"$161,590 ","23,486",Drama
Self Medicated,31-Aug-07,ThinkFilm,Not Rated,"$100,610 ","14,623",Drama
The Nines,31-Aug-07,,R,"$63,165 ","9,180",Drama
Halloween,31-Aug-07,MGM,R,"$58,269,151 ","8,469,353",Horror
I Want Someone To Eat Chees�,5-Sep-07,IFC Films,Not Rated,"$194,568 ","28,280",Comedy
Shoot 'Em Up,7-Sep-07,New Line,R,"$12,796,824 ","1,860,003",Action
The Hunting Party,7-Sep-07,Weinstein Co.,R,"$876,671 ","127,423",Action
Romance and Cigarettes,7-Sep-07,Borotoro,R,"$37,322 ","5,198",Comedy
The Brothers Solomon,7-Sep-07,Sony Pictures,R,"$900,926 ","130,948",Comedy
Romance and Cigarettes,7-Sep-07,Borotoro,R,"$513,680 ","74,662",Comedy
Dhamaal,7-Sep-07,Shemaroo Entertai�,Not Rated,"$166,339 ","24,177",Comedy
The Inner Life of Martin Frost,7-Sep-07,New Yorker,Not Rated,"$5,114 ",743,Comedy
Milarepa,7-Sep-07,Walking Shadows,PG,"$204,784 ","29,765",Drama
Ha-Buah,7-Sep-07,Strand,Not Rated,"$157,121 ","22,837",Drama
Fierce People,7-Sep-07,Lionsgate,R,"$85,410 ","12,414",Drama
Hatchet,7-Sep-07,Anchor Bay Entert�,R,"$175,281 ","25,476",Horror
Dragon Wars: D-War,14-Sep-07,Freestyle Releasing,PG-13,"$10,977,721 ","1,595,598",Action
Mr. Woodcock,14-Sep-07,New Line,PG-13,"$25,799,486 ","3,749,925",Comedy
Ira and Abby,14-Sep-07,Magnolia Pictures,R,"$221,096 ","32,136",Comedy
Return with Honor: A Missio�,14-Sep-07,Excel Entertainment,PG,"$102,171 ","14,850",Comedy
Moving McAllister,14-Sep-07,First Independent�,PG-13,"$42,538 ","6,182",Comedy
Great World of Sound,14-Sep-07,Magnolia Pictures,R,"$22,011 ","3,199",Comedy
In the Valley of Elah,14-Sep-07,Warner Bros.,R,"$12,560 ","1,749",Drama
The Brave One,14-Sep-07,Warner Bros.,R,"$36,793,804 ","5,347,936",Drama
In the Valley of Elah,14-Sep-07,Warner Bros.,R,"$6,765,181 ","983,311",Drama
Silk,14-Sep-07,Picturehouse,R,"$1,103,075 ","160,330",Drama
King of California,14-Sep-07,First Look,PG-13,"$268,461 ","39,020",Drama
December Boys,14-Sep-07,Aura Entertainment,PG-13,"$46,474 ","6,754",Drama
My Brother's Wedding,14-Sep-07,Milestone,Not Rated,"$4,294 ",624,Drama
Eastern Promises,14-Sep-07,Focus Features,R,"$17,181,265 ","2,497,276",Thriller/Suspense
The Last Winter,19-Sep-07,IFC Films,Not Rated,"$32,921 ","4,785",Horror
Sydney White,21-Sep-07,Universal,PG-13,"$11,892,415 ","1,728,548",Comedy
Randy and the Mob,21-Sep-07,IFC Films,PG,"$45,410 ","6,600",Comedy
Into the Wild,21-Sep-07,Paramount Vantage,R,"$1,295,247 ","180,397",Drama
Into the Wild,21-Sep-07,Paramount Vantage,R,"$17,059,109 ","2,479,522",Drama
The Jane Austen Book Club,21-Sep-07,Sony Pictures Cla�,PG-13,"$3,575,227 ","519,655",Drama
L'homme de sa vie,21-Sep-07,Strand,Not Rated,"$7,704 ","1,119",Drama
Resident Evil: Extinction,21-Sep-07,Sony Pictures,R,"$50,648,679 ","7,361,726",Horror
The Kingdom,28-Sep-07,Universal,R,"$47,467,250 ","6,899,309",Action
The Game Plan,28-Sep-07,Walt Disney,PG,"$1,164,731 ","162,218",Comedy
Outsourced,28-Sep-07,Lantern Lane Ente…,PG-13,$606 ,84,Comedy
The Game Plan,28-Sep-07,Walt Disney,PG,"$89,483,471 ","13,006,318",Comedy
Outsourced,28-Sep-07,Lantern Lane Ente�,PG-13,"$160,987 ","23,399",Comedy
Itty Bitty Titty Committee,28-Sep-07,Pocket Releasing,Not Rated,"$18,445 ","2,680",Comedy
Se jie,28-Sep-07,Focus Features,NC-17,"$41,797 ","5,821",Drama
Se jie,28-Sep-07,Focus Features,NC-17,"$4,563,185 ","663,253",Drama
Feast of Love,28-Sep-07,MGM,R,"$3,508,572 ","509,966",Drama
Trade,28-Sep-07,Roadside Attractions,R,"$214,202 ","31,134",Drama
The Darjeeling Limited,29-Sep-07,Fox Searchlight,R,"$204,055 ","28,420",Adventure
The Darjeeling Limited,29-Sep-07,Fox Searchlight,R,"$11,698,660 ","1,700,387",Adventure
The Seeker: The Dark is Rising,5-Oct-07,20th Century Fox,PG,"$8,794,452 ","1,278,263",Adventure
Finishing the Game,5-Oct-07,IFC First Take,Not Rated,"$52,850 ","7,681",Comedy
Weirdsville,5-Oct-07,Magnolia Pictures,R,"$8,161 ","1,186",Comedy
Michael Clayton,5-Oct-07,Warner Bros.,R,"$9,866,490 ","1,374,163",Drama
Michael Clayton,5-Oct-07,Warner Bros.,R,"$39,167,392 ","5,692,935",Drama
Feel the Noise,5-Oct-07,Sony Pictures,PG-13,"$5,867,786 ","852,875",Drama
Control,10-Oct-07,Weinstein Co.,R,"$25,331 ","3,527",Drama
Control,10-Oct-07,Weinstein Co.,R,"$846,246 ","123,000",Drama
Passage to Zarahemla,12-Oct-07,Somerset Films,PG-13,"$47,935 ","6,676",Adventure
Passage to Zarahemla,12-Oct-07,Somerset Films,PG-13,"$242,444 ","35,238",Adventure
Lars and the Real Girl,12-Oct-07,MGM,PG-13,"$195,922 ","27,287",Comedy
Why Did I Get Married?,12-Oct-07,Lionsgate,PG-13,"$55,204,525 ","8,023,913",Comedy
Lars and the Real Girl,12-Oct-07,MGM,PG-13,"$5,760,558 ","837,290",Comedy
Bhool Bhulaiyaa,12-Oct-07,Eros Entertainment,Not Rated,"$1,097,797 ","159,563",Comedy
We Own the Night,12-Oct-07,Sony Pictures,R,"$28,563,179 ","4,151,624",Drama
Elizabeth: The Golden Age,12-Oct-07,Universal,PG-13,"$16,285,240 ","2,367,040",Drama
The Final Season,12-Oct-07,Yari Film Group R�,PG,"$1,159,691 ","168,559",Drama
Laaga Chunari Mein Daag,12-Oct-07,Yash Raj Films,Not Rated,"$675,102 ","98,125",Drama
Canvas,12-Oct-07,Screen Media Films,PG-13,"$35,630 ","5,178",Drama
Sleuth,12-Oct-07,Sony Pictures Cla…,R,"$4,631 ",644,Thriller/Suspense
Sleuth,12-Oct-07,Sony Pictures Cla�,R,"$338,264 ","49,166",Thriller/Suspense
O Jerusalem,17-Oct-07,Samuel Goldwyn Films,R,"$234,480 ","34,081",Drama
The Ten Commandments,19-Oct-07,Rocky Mountain Pi�,PG,"$952,820 ","138,491",Adventure
The Comebacks,19-Oct-07,20th Century Fox,PG-13,"$13,349,927 ","1,940,396",Comedy
Wristcutters: A Love Story,19-Oct-07,Autonomous Films,R,"$446,165 ","64,849",Comedy
Local Color,19-Oct-07,Monterey Media,R,"$17,151 ","2,286",Drama
"Gone, Baby, Gone",19-Oct-07,Miramax,R,"$20,300,218 ","2,950,613",Drama
Things We Lost in the Fire,19-Oct-07,Paramount Pictures,R,"$3,287,315 ","477,807",Drama
Reservation Road,19-Oct-07,Focus Features,R,"$101,440 ","14,744",Drama
Moondance Alexander,19-Oct-07,The Bigger Picture,G,"$37,895 ","5,507",Drama
Local Color,19-Oct-07,Monterey Media,R,"$32,788 ","4,765",Drama
Azuloscurocasinegro,19-Oct-07,Strand,Not Rated,"$6,594 ",958,Drama
Out of the Blue,19-Oct-07,IFC Films,Not Rated,$728 ,105,Drama
30 Days of Night,19-Oct-07,Sony Pictures,R,"$39,568,996 ","5,751,307",Horror
Rendition,19-Oct-07,New Line,R,"$9,736,045 ","1,415,122",Thriller/Suspense
Sarah Landon and the Parano�,19-Oct-07,Freestyle Releasing,PG,"$817,935 ","118,885",Thriller/Suspense
Arnolds Park,19-Oct-07,The Movie Partners,PG-13,"$23,616 ","3,432",Thriller/Suspense
Slipstream,26-Oct-07,Strand,R,"$6,273 ",911,Comedy
Before the Devil Knows You'…,26-Oct-07,ThinkFilm,R,"$432,580 ","60,247",Drama
Bella,26-Oct-07,Roadside Attractions,PG-13,"$428,867 ","59,730",Drama
Bella,26-Oct-07,Roadside Attractions,PG-13,"$7,664,506 ","1,114,027",Drama
Before the Devil Knows You'�,26-Oct-07,ThinkFilm,R,"$6,652,931 ","966,995",Drama
Music Within,26-Oct-07,MGM,R,"$153,205 ","22,268",Drama
Rails & Ties,26-Oct-07,Warner Bros.,PG-13,"$22,136 ","3,217",Drama
Black Irish,26-Oct-07,Anywhere Road Ent�,R,"$6,900 ","1,002",Drama
Saw IV,26-Oct-07,Lionsgate,R,"$63,300,095 ","9,200,595",Horror
Bee Movie,2-Nov-07,Paramount Pictures,PG,"$2,112,935 ","294,281",Adventure
Bee Movie,2-Nov-07,Paramount Pictures,PG,"$124,518,342 ","18,098,596",Adventure
Fat Girls,2-Nov-07,Regent Releasing,R,"$1,911 ",266,Comedy
Fat Girls,2-Nov-07,Regent Releasing,R,"$9,293 ","1,350",Comedy
American Gangster,2-Nov-07,Universal,R,"$1,013,910 ","141,213",Drama
Bushi no ichibun,2-Nov-07,Eleven Arts,Not Rated,"$60,910 ","8,483",Drama
The Tracey Fragments,2-Nov-07,,R,"$12,459 ","1,735",Drama
American Gangster,2-Nov-07,Universal,R,"$129,150,735 ","18,771,909",Drama
Martian Child,2-Nov-07,New Line,PG,"$7,500,310 ","1,090,161",Drama
Surviving My Mother,2-Nov-07,,Not Rated,"$222,555 ","32,348",Drama
The Tracey Fragments,2-Nov-07,,R,"$20,724 ","3,012",Drama
The Education of Charlie Banks,7-Nov-07,Anchor Bay Entert…,R,"$15,078 ","2,010",Drama
No Country for Old Men,9-Nov-07,Miramax,R,"$29,513,761 ","4,110,551",Action
No Country for Old Men,9-Nov-07,Miramax,R,"$44,759,744 ","6,505,776",Action
Christmas in Wonderland,9-Nov-07,Yari Film Group R…,PG,"$78,566 ","10,942",Adventure
Fred Claus,9-Nov-07,Warner Bros.,PG,"$609,342 ","84,867",Comedy
Fred Claus,9-Nov-07,Warner Bros.,PG,"$71,397,435 ","10,377,534",Comedy
I'll Believe You,9-Nov-07,Stand Up Films,PG,"$12,010 ","1,745",Comedy
Lions for Lambs,9-Nov-07,United Artists,R,"$59,749 ","8,321",Drama
Holly,9-Nov-07,Priority Films,R,"$54,817 ","7,634",Drama
The Sensation of Sight,9-Nov-07,Monterey Media,R,"$6,558 ",913,Drama
Lions for Lambs,9-Nov-07,United Artists,R,"$14,938,321 ","2,171,267",Drama
Om Shanti Om,9-Nov-07,Eros Entertainment,Not Rated,"$3,597,372 ","522,873",Drama
Saawariya,9-Nov-07,Sony Pictures,PG,"$885,574 ","128,717",Drama
Holly,9-Nov-07,Priority Films,R,"$108,252 ","15,734",Drama
The Sensation of Sight,9-Nov-07,Monterey Media,R,"$16,899 ","2,456",Drama
Choking Man,9-Nov-07,International Fil�,Not Rated,"$5,474 ",795,Drama
P2,9-Nov-07,Summit Entertainment,R,"$6,348,315 ","922,720",Horror
After Dark HorrorFest 2007:�,9-Nov-07,Freestyle Releasing,Not Rated,"$874,635 ","127,127",Horror
Beowulf,16-Nov-07,Paramount Pictures,PG-13,"$1,075,379 ","149,774",Adventure
Beowulf,16-Nov-07,Paramount Pictures,PG-13,"$81,205,200 ","11,803,081",Adventure
Mr. Magorium's Wonder Emporium,16-Nov-07,20th Century Fox,G,"$964,396 ","134,317",Comedy
Mr. Magorium's Wonder Emporium,16-Nov-07,20th Century Fox,G,"$31,097,159 ","4,519,936",Comedy
Dialogue avec mon jardinier,16-Nov-07,,Not Rated,"$93,604 ","13,605",Comedy
Smiley Face,16-Nov-07,First Look,R,"$9,397 ","1,365",Comedy
Str�karnir okkar,16-Nov-07,Regent Releasing,Not Rated,"$1,302 ",189,Comedy
Margot at the Wedding,16-Nov-07,Paramount Vantage,R,"$191,989 ","26,739",Drama
Love in the Time of Cholera,16-Nov-07,New Line,R,"$4,617,608 ","671,163",Drama
Margot at the Wedding,16-Nov-07,Paramount Vantage,R,"$1,767,431 ","256,894",Drama
Redacted,16-Nov-07,Magnolia Pictures,R,"$65,388 ","9,504",Drama
Hitman,21-Nov-07,20th Century Fox,R,"$438,996 ","61,142",Action
Hitman,21-Nov-07,20th Century Fox,R,"$39,248,698 ","5,704,753",Action
Nina's Heavenly Delights,21-Nov-07,Regent Releasing,PG-13,"$1,680 ",233,Comedy
Nina's Heavenly Delights,21-Nov-07,Regent Releasing,PG-13,"$8,256 ","1,200",Comedy
August Rush,21-Nov-07,Warner Bros.,PG,"$1,490,945 ","207,653",Drama
I’m Not There,21-Nov-07,Weinstein Co.,R,"$725,274 ","101,013",Drama
This Christmas,21-Nov-07,Sony Pictures,PG-13,"$49,121,934 ","7,139,815",Drama
August Rush,21-Nov-07,Warner Bros.,PG,"$30,173,217 ","4,385,642",Drama
I�m Not There,21-Nov-07,Weinstein Co.,R,"$3,292,335 ","478,537",Drama
The Mist,21-Nov-07,MGM,R,"$258,038 ","35,938",Horror
The Mist,21-Nov-07,MGM,R,"$25,335,717 ","3,682,517",Horror
The Mist,21-Nov-07,MGM,R,"$258,038 ","35,938",Horror
The Mist,21-Nov-07,MGM,R,"$258,038 ","35,938",Horror
Middonaito �guru,23-Nov-07,Strand,Not Rated,"$7,116 ","1,034",Action
Starting Out in the Evening,23-Nov-07,Roadside Attractions,PG-13,"$374,092 ","52,101",Drama
Starting Out in the Evening,23-Nov-07,Roadside Attractions,PG-13,"$528,023 ","76,747",Drama
Sure Shot Dombrowski,25-Nov-07,,Not Rated,"$3,500 ",487,Comedy
The Savages,28-Nov-07,Fox Searchlight,R,"$4,654,390 ","648,244",Drama
The Savages,28-Nov-07,Fox Searchlight,R,"$1,968,692 ","286,147",Drama
The Sasquatch Gang,30-Nov-07,Screen Media Films,PG-13,"$9,458 ","1,374",Comedy
Le Scaphandre et le Papillon,30-Nov-07,Miramax,PG-13,"$4,531,162 ","631,081",Drama
Le Scaphandre et le Papillon,30-Nov-07,Miramax,PG-13,"$1,458,913 ","212,051",Drama
Badland,30-Nov-07,Arcangelo Enterta�,R,"$1,924 ",279,Drama
Divine Intervention,30-Nov-07,Bullz Eye,Not Rated,"$1,485 ",215,Drama
Intervention,30-Nov-07,Alliance Films,Not Rated,$279 ,40,Drama
Awake,30-Nov-07,Weinstein Co.,R,"$234,739 ","32,693",Thriller/Suspense
Awake,30-Nov-07,Weinstein Co.,R,"$14,139,086 ","2,055,099",Thriller/Suspense
Cr�nica de una fuga,30-Nov-07,IFC Films,R,"$2,370 ",344,Thriller/Suspense
Juno,5-Dec-07,Fox Searchlight,PG-13,"$112,025,254 ","15,602,403",Comedy
Juno,5-Dec-07,Fox Searchlight,PG-13,"$31,470,011 ","4,574,130",Comedy
El Violin,5-Dec-07,Film Movement,Not Rated,"$48,691 ","6,781",Drama
El Violin,5-Dec-07,Film Movement,Not Rated,"$16,607 ","2,413",Drama
The Golden Compass,7-Dec-07,New Line,PG-13,"$4,443,232 ","618,834",Adventure
The Golden Compass,7-Dec-07,New Line,PG-13,"$65,664,496 ","9,544,258",Adventure
Dus Kahaniyaan,7-Dec-07,Eros Entertainment,Not Rated,"$219,071 ","31,841",Adventure
L'âge des ténèbres,7-Dec-07,,Not Rated,"$286,088 ","39,845",Comedy
L'�ge des t�n�bres,7-Dec-07,,Not Rated,"$1,205,437 ","175,208",Comedy
Dirty Laundry,7-Dec-07,The Bigger Picture,PG-13,"$20,138 ","2,927",Comedy
The Amateurs,7-Dec-07,Bauer Martinez,R,"$16,334 ","2,374",Comedy
Atonement,7-Dec-07,Focus Features,R,"$31,824,552 ","4,432,388",Drama
The Walker,7-Dec-07,ThinkFilm,R,"$24,732 ","3,444",Drama
Grace Is Gone,7-Dec-07,Weinstein Co.,PG,"$13,467 ","1,875",Drama
Oublier Cheyenne,7-Dec-07,Regent Releasing,R,$722 ,100,Drama
Atonement,7-Dec-07,Focus Features,R,"$19,155,607 ","2,784,245",Drama
No�lle,7-Dec-07,Gener8xion Entert�,PG,"$257,868 ","37,480",Drama
The Walker,7-Dec-07,ThinkFilm,R,"$54,966 ","7,989",Drama
Strength and Honour,7-Dec-07,Slowhand Cinema,R,"$51,933 ","7,548",Drama
Grace Is Gone,7-Dec-07,Weinstein Co.,PG,"$36,613 ","5,321",Drama
Oublier Cheyenne,7-Dec-07,Regent Releasing,R,$251 ,36,Drama
Revolver,7-Dec-07,Samuel Goldwyn Films,R,"$84,738 ","12,316",Thriller/Suspense
Alvin and the Chipmunks,14-Dec-07,20th Century Fox,PG,"$63,694,531 ","8,871,105",Adventure
Alvin and the Chipmunks,14-Dec-07,20th Century Fox,PG,"$153,632,443 ","22,330,297",Adventure
Niwemang,14-Dec-07,Strand,Not Rated,"$2,528 ",367,Comedy
The Kite Runner,14-Dec-07,Paramount Vantage,PG-13,"$9,372,753 ","1,305,397",Drama
Shotgun Stories,14-Dec-07,International Fil…,PG-13,"$36,309 ","5,056",Drama
Arranged,14-Dec-07,Film Movement,Not Rated,$462 ,64,Drama
The Kite Runner,14-Dec-07,Paramount Vantage,PG-13,"$6,427,325 ","934,204",Drama
Arranged,14-Dec-07,Film Movement,Not Rated,"$20,174 ","2,932",Drama
Look,14-Dec-07,Captured Films,R,"$16,136 ","2,345",Drama
Shotgun Stories,14-Dec-07,International Fil�,PG-13,"$9,717 ","1,412",Drama
I am Legend,14-Dec-07,Warner Bros.,PG-13,"$50,263,436 ","7,000,479",Horror
I am Legend,14-Dec-07,Warner Bros.,PG-13,"$206,129,574 ","29,960,694",Horror
I am Legend,14-Dec-07,Warner Bros.,PG-13,"$50,263,436 ","7,000,479",Horror
I am Legend,14-Dec-07,Warner Bros.,PG-13,"$50,263,436 ","7,000,479",Horror
Youth Without Youth,14-Dec-07,Sony Pictures Cla…,R,"$72,893 ","10,152",Thriller/Suspense
Youth Without Youth,14-Dec-07,Sony Pictures Cla�,R,"$166,602 ","24,215",Thriller/Suspense
Flakes,19-Dec-07,IFC Films,Not Rated,$778 ,113,Comedy
National Treasure: Book of …,21-Dec-07,Walt Disney,PG,"$49,090,706 ","6,837,145",Adventure
National Treasure: Book of �,21-Dec-07,Walt Disney,PG,"$170,870,795 ","24,835,871",Adventure
Walk Hard: The Dewey Cox Story,21-Dec-07,Sony Pictures,R,"$1,032,788 ","143,842",Comedy
Walk Hard: The Dewey Cox Story,21-Dec-07,Sony Pictures,R,"$17,284,363 ","2,512,262",Comedy
Blonde Ambition,21-Dec-07,First Look,PG-13,"$6,422 ",933,Comedy
Charlie Wilson’s War,21-Dec-07,Universal,R,"$24,957,785 ","3,476,015",Drama
Taare Zameen Par,21-Dec-07,UTV Communications,PG,"$119,532 ","16,647",Drama
Charlie Wilson�s War,21-Dec-07,Universal,R,"$41,703,310 ","6,061,528",Drama
Taare Zameen Par,21-Dec-07,UTV Communications,PG,"$1,104,337 ","160,514",Drama
Aliens vs. Predator - Requiem,25-Dec-07,20th Century Fox,R,"$11,311,743 ","1,575,452",Action
Aliens vs. Predator - Requiem,25-Dec-07,20th Century Fox,R,"$30,485,323 ","4,431,006",Action
The Water Horse: Legend of …,25-Dec-07,Sony Pictures,PG,"$9,589,347 ","1,335,563",Adventure
The Water Horse: Legend of �,25-Dec-07,Sony Pictures,PG,"$30,823,470 ","4,480,155",Adventure
The Bucket List,25-Dec-07,Warner Bros.,PG-13,"$92,588,080 ","12,895,276",Comedy
The Bucket List,25-Dec-07,Warner Bros.,PG-13,"$878,422 ","127,678",Comedy
The Great Debaters,25-Dec-07,Weinstein Co.,PG-13,"$8,212,379 ","1,143,785",Drama
Persepolis,25-Dec-07,Sony Pictures Cla…,PG-13,"$4,129,763 ","575,175",Drama
The Great Debaters,25-Dec-07,Weinstein Co.,PG-13,"$22,013,765 ","3,199,675",Drama
Persepolis,25-Dec-07,Sony Pictures Cla�,PG-13,"$313,640 ","45,587",Drama
There Will Be Blood,26-Dec-07,Paramount Vantage,R,"$39,795,491 ","5,542,547",Drama
There Will Be Blood,26-Dec-07,Paramount Vantage,R,"$427,023 ","62,067",Drama
Honeydripper,28-Dec-07,Emerging Pictures,PG-13,"$244,727 ","34,084",Drama
Honeydripper,28-Dec-07,Emerging Pictures,PG-13,"$23,153 ","3,365",Drama
El orfanato,28-Dec-07,Picturehouse,R,"$6,241,391 ","869,274",Horror
El orfanato,28-Dec-07,Picturehouse,R,"$917,756 ","133,394",Horror
El orfanato,28-Dec-07,Picturehouse,R,"$6,241,391 ","869,274",Horror
El orfanato,28-Dec-07,Picturehouse,R,"$6,241,391 ","869,274",Horror
Hei Wong Ji Wong,31-Dec-07,,Not Rated,"$18,361 ","2,668",Comedy
The Killing of John Lennon,2-Jan-08,IFC First Take,Not Rated,"$2,666 ",371,Drama
The Killing of John Lennon,2-Jan-08,IFC First Take,Not Rated,"$4,309 ",626,Drama
Undoing,4-Jan-08,Indican Pictures,R,"$27,128 ","3,778",Drama
Undoing,4-Jan-08,Indican Pictures,R,"$17,871 ","2,597",Drama
Guta-yubalja-deul,4-Jan-08,Imaginasian,Not Rated,$249 ,36,Drama
One Missed Call,4-Jan-08,Warner Bros.,PG-13,"$26,890,041 ","3,745,131",Horror
One Missed Call,4-Jan-08,Warner Bros.,PG-13,"$26,890,041 ","3,745,131",Horror
One Missed Call,4-Jan-08,Warner Bros.,PG-13,"$26,890,041 ","3,745,131",Horror
Haebyonui Yoin,9-Jan-08,New Yorker,Not Rated,"$21,957 ","3,058",Comedy
In the Name of the King: A …,11-Jan-08,Freestyle Releasing,PG-13,"$4,775,656 ","665,133",Action
The Pirates Who Don't Do An…,11-Jan-08,Universal,G,"$12,981,269 ","1,807,976",Adventure
First Sunday,11-Jan-08,Sony Pictures,PG-13,"$37,931,869 ","5,282,990",Comedy
Bes Vakit,11-Jan-08,Atlantik Films,Not Rated,"$6,176 ",860,Drama
Cloverfield,18-Jan-08,Paramount Pictures,PG-13,"$80,048,433 ","11,148,807",Action
Beaufort,18-Jan-08,Kino International,Not Rated,"$102,342 ","14,253",Action
Mad Money,18-Jan-08,Overture Films,PG-13,"$20,668,843 ","2,878,668",Comedy
Teeth,18-Jan-08,Roadside Attractions,R,"$346,692 ","48,285",Comedy
Blonde and Blonder,18-Jan-08,Empire Pictures,PG-13,"$38,848 ","5,410",Comedy
All Hat,18-Jan-08,,R,"$15,198 ","2,116",Comedy
Teeth,18-Jan-08,Roadside Attractions,R,$886 ,118,Comedy
Cassandra's Dream,18-Jan-08,Weinstein Co.,PG-13,"$973,018 ","135,517",Drama
Little Chenier,18-Jan-08,Slowhand Cinema,R,"$87,939 ","12,247",Drama
Sanxia haoren,18-Jan-08,New Yorker,Not Rated,"$75,985 ","10,582",Drama
Yihe yuan,18-Jan-08,Palm Pictures,Not Rated,"$62,707 ","8,733",Drama
Day Zero,18-Jan-08,First Look,R,"$16,659 ","2,320",Drama
Rambo,25-Jan-08,Lionsgate,R,"$42,754,105 ","5,954,611",Action
Meet the Spartans,25-Jan-08,20th Century Fox,PG-13,"$38,233,676 ","5,325,025",Comedy
Skid Marks,25-Jan-08,Diversa Films,R,"$9,344 ","1,301",Comedy
How She Move,25-Jan-08,Paramount Vantage,PG-13,"$7,070,641 ","984,769",Drama
"4 luni, 3 saptamani si 2 zile",25-Jan-08,IFC Films,Not Rated,"$1,196,321 ","166,618",Drama
A Casa de Alice,25-Jan-08,Vitagraph Films,Not Rated,"$61,678 ","8,590",Drama
The Air I Breathe,25-Jan-08,ThinkFilm,R,"$25,775 ","3,589",Drama
Ping Guo,25-Jan-08,New Yorker,Not Rated,"$10,827 ","1,507",Drama
