Date,Open,High,Low,Close,Adj Close,Volume
1992-01-01,3152.100098,3299.189941,3139.310059,3223.399902,3223.399902,5611600
1992-02-01,3223.399902,3293.379883,3207.959961,3267.699951,3267.699951,4111500
1992-03-01,3267.699951,3299.639893,3188.280029,3235.500000,3235.500000,4024100
1992-04-01,3235.500000,3366.500000,3161.229980,3359.100098,3359.100098,4583000
1992-05-01,3359.100098,3440.669922,3324.020020,3396.899902,3396.899902,3882400
1992-06-01,3396.899902,3422.280029,3254.050049,3318.500000,3318.500000,4753600
1992-07-01,3318.800049,3402.959961,3266.530029,3393.800049,3393.800049,4497700
1992-08-01,3393.800049,3399.989990,3207.100098,3257.399902,3257.399902,3633800
1992-09-01,3257.399902,3376.489990,3242.760010,3271.699951,3271.699951,4365700
1992-10-01,3271.699951,3280.850098,3095.790039,3226.300049,3226.300049,5307600
1992-11-01,3226.300049,3308.409912,3184.669922,3305.199951,3305.199951,4523400
1992-12-01,3305.199951,3352.709961,3248.159912,3301.110107,3301.110107,5106500
1993-01-01,3301.100098,3320.830078,3231.949951,3310.000000,3310.000000,6200100
1993-02-01,3310.000000,3456.729980,3266.800049,3370.810059,3370.810059,5775100
1993-03-01,3370.800049,3482.120117,3343.260010,3435.110107,3435.110107,5861000
1993-04-01,3435.100098,3481.580078,3363.790039,3427.550049,3427.550049,6459900
1993-05-01,3439.399902,3565.070068,3415.330078,3527.429932,3527.429932,4726600
1993-06-01,3527.399902,3569.780029,3462.659912,3516.080078,3516.080078,4611400
1993-07-01,3516.100098,3583.500000,3449.899902,3539.469971,3539.469971,5009800
1993-08-01,3539.500000,3663.830078,3536.959961,3651.250000,3651.250000,5266100
1993-09-01,3651.300049,3655.719971,3507.060059,3555.120117,3555.120117,4877900
1993-10-01,3555.100098,3708.820068,3553.719971,3680.590088,3680.590088,5291300
1993-11-01,3680.600098,3717.760010,3600.669922,3683.949951,3683.949951,5766800
1993-12-01,3685.100098,3799.919922,3685.060059,3754.090088,3754.090088,5172500
1994-01-01,3754.100098,3985.959961,3742.810059,3978.360107,3978.360107,6195300
1994-02-01,3978.399902,3982.020020,3632.020020,3832.020020,3832.020020,5085600
1994-03-01,3832.000000,3895.939941,3559.090088,3635.959961,3635.959961,6674900
1994-04-01,3634.500000,3710.840088,3552.469971,3681.689941,3681.689941,5666800
1994-05-01,3681.699951,3772.790039,3623.100098,3758.370117,3758.370117,5334700
1994-06-01,3758.399902,3823.389893,3610.399902,3624.959961,3624.959961,5545600
1994-07-01,3625.000000,3770.000000,3623.020020,3764.500000,3764.500000,4506100
